area,x coord,y coord,value,type,historical,sample area,__x__,__y__,route_order,segment,route_order_old,detonation_radius_m,detonation_ring_order
Detonation site,161.623,189.213,,Perimeter,,,161.623,189.213,1,Detonation site,1,248.8444363,1
Detonation site,130.2482,212.4879,,Perimeter,,,130.2482,212.4879,2,Detonation site,2,249.2302174,1
Detonation site,95.6709,230.9699,,Perimeter,,,95.6709,230.9699,3,Detonation site,3,250.0000316,1
Detonation site,58.1522,242.351,,Perimeter,,,58.1522,242.351,4,Detonation site,4,249.2301859,1
Detonation site,19.509,248.0785,,Perimeter,,,19.509,248.0785,5,Detonation site,5,248.8444157,1
Detonation site,-19.509,248.0785,,Perimeter,,,-19.509,248.0785,6,Detonation site,6,248.8444157,1
Detonation site,-58.1522,242.351,,Perimeter,,,-58.1522,242.351,7,Detonation site,7,249.2301859,1
Detonation site,-95.6709,230.9699,,Perimeter,,,-95.6709,230.9699,8,Detonation site,8,250.0000316,1
Detonation site,-130.2482,212.4879,,Perimeter,,,-130.2482,212.4879,9,Detonation site,9,249.2302174,1
Detonation site,-161.623,189.213,,Perimeter,,,-161.623,189.213,10,Detonation site,10,248.8444363,1
Detonation site,-189.213,161.623,,Perimeter,,,-189.213,161.623,11,Detonation site,11,248.8444363,1
Detonation site,-212.4879,130.2482,,Perimeter,,,-212.4879,130.2482,12,Detonation site,12,249.2302174,1
Detonation site,-230.9699,95.6709,,Perimeter,,,-230.9699,95.6709,13,Detonation site,13,250.0000316,1
Detonation site,-242.351,58.1522,,Perimeter,,,-242.351,58.1522,14,Detonation site,14,249.2301859,1
Detonation site,-248.0785,19.509,,Perimeter,,,-248.0785,19.509,15,Detonation site,15,248.8444157,1
Detonation site,-248.0785,-19.509,,Perimeter,,,-248.0785,-19.509,16,Detonation site,16,248.8444157,1
Detonation site,-242.351,-58.1522,,Perimeter,,,-242.351,-58.1522,17,Detonation site,17,249.2301859,1
Detonation site,-230.9699,-95.6709,,Perimeter,,,-230.9699,-95.6709,18,Detonation site,18,250.0000316,1
Detonation site,-212.4879,-130.2482,,Perimeter,,,-212.4879,-130.2482,19,Detonation site,19,249.2302174,1
Detonation site,-189.213,-161.623,,Perimeter,,,-189.213,-161.623,20,Detonation site,20,248.8444363,1
Detonation site,-161.623,-189.213,,Perimeter,,,-161.623,-189.213,21,Detonation site,21,248.8444363,1
Detonation site,-130.2482,-212.4879,,Perimeter,,,-130.2482,-212.4879,22,Detonation site,22,249.2302174,1
Detonation site,-95.6709,-230.9699,,Perimeter,,,-95.6709,-230.9699,23,Detonation site,23,250.0000316,1
Detonation site,-58.1522,-242.351,,Perimeter,,,-58.1522,-242.351,24,Detonation site,24,249.2301859,1
Detonation site,-19.509,-248.0785,,Perimeter,,,-19.509,-248.0785,25,Detonation site,25,248.8444157,1
Detonation site,19.509,-248.0785,,Perimeter,,,19.509,-248.0785,26,Detonation site,26,248.8444157,1
Detonation site,58.1522,-242.351,,Perimeter,,,58.1522,-242.351,27,Detonation site,27,249.2301859,1
Detonation site,95.6709,-230.9699,,Perimeter,,,95.6709,-230.9699,28,Detonation site,28,250.0000316,1
Detonation site,130.2482,-212.4879,,Perimeter,,,130.2482,-212.4879,29,Detonation site,29,249.2302174,1
Detonation site,161.623,-189.213,,Perimeter,,,161.623,-189.213,30,Detonation site,30,248.8444363,1
Detonation site,189.213,-161.623,,Perimeter,,,189.213,-161.623,31,Detonation site,31,248.8444363,1
Detonation site,212.4879,-130.2482,,Perimeter,,,212.4879,-130.2482,32,Detonation site,32,249.2302174,1
Detonation site,230.9699,-95.6709,,Perimeter,,,230.9699,-95.6709,33,Detonation site,33,250.0000316,1
Detonation site,242.351,-58.1522,,Perimeter,,,242.351,-58.1522,34,Detonation site,34,249.2301859,1
Detonation site,248.0785,-19.509,,Perimeter,,,248.0785,-19.509,35,Detonation site,35,248.8444157,1
Detonation site,248.0785,19.509,,Perimeter,,,248.0785,19.509,36,Detonation site,36,248.8444157,1
Detonation site,242.351,58.1522,,Perimeter,,,242.351,58.1522,37,Detonation site,37,249.2301859,1
Detonation site,230.9699,95.6709,,Perimeter,,,230.9699,95.6709,38,Detonation site,38,250.0000316,1
Detonation site,212.4879,130.2482,,Perimeter,,,212.4879,130.2482,39,Detonation site,39,249.2302174,1
Detonation site,189.213,161.623,,Perimeter,,,189.213,161.623,40,Detonation site,40,248.8444363,1
Detonation site,152.4957,137.3396,,Perimeter,,,152.4957,137.3396,41,Detonation site,41,205.2245216,2
Detonation site,120.6908,166.159,,Perimeter,,,120.6908,166.159,42,Detonation site,42,205.3657286,2
Detonation site,83.5814,187.781,,Perimeter,,,83.5814,187.781,43,Detonation site,43,205.5420988,2
Detonation site,42.7649,201.2603,,Perimeter,,,42.7649,201.2603,44,Detonation site,44,205.7536027,2
Detonation site,0,206,,Perimeter,,,0,206,45,Detonation site,45,206,2
Detonation site,-42.7649,201.2603,,Perimeter,,,-42.7649,201.2603,46,Detonation site,46,205.7536027,2
Detonation site,-83.5814,187.781,,Perimeter,,,-83.5814,187.781,47,Detonation site,47,205.5420988,2
Detonation site,-120.6908,166.159,,Perimeter,,,-120.6908,166.159,48,Detonation site,48,205.3657286,2
Detonation site,-152.4957,137.3396,,Perimeter,,,-152.4957,137.3396,49,Detonation site,49,205.2245216,2
Detonation site,-177.6282,102.5759,,Perimeter,,,-177.6282,102.5759,50,Detonation site,50,205.1184845,2
Detonation site,-195.0082,63.3751,,Perimeter,,,-195.0082,63.3751,51,Detonation site,51,205.0478026,2
Detonation site,-203.8889,21.4339,,Perimeter,,,-203.8889,21.4339,52,Detonation site,52,205.0124279,2
Detonation site,-203.8889,-21.4339,,Perimeter,,,-203.8889,-21.4339,53,Detonation site,53,205.0124279,2
Detonation site,-195.0082,-63.3751,,Perimeter,,,-195.0082,-63.3751,54,Detonation site,54,205.0478026,2
Detonation site,-177.6282,-102.5759,,Perimeter,,,-177.6282,-102.5759,55,Detonation site,55,205.1184845,2
Detonation site,-152.4957,-137.3396,,Perimeter,,,-152.4957,-137.3396,56,Detonation site,56,205.2245216,2
Detonation site,-120.6908,-166.159,,Perimeter,,,-120.6908,-166.159,57,Detonation site,57,205.3657286,2
Detonation site,-83.5814,-187.781,,Perimeter,,,-83.5814,-187.781,58,Detonation site,58,205.5420988,2
Detonation site,-42.7649,-201.2603,,Perimeter,,,-42.7649,-201.2603,59,Detonation site,59,205.7536027,2
Detonation site,0,-206,,Perimeter,,,0,-206,60,Detonation site,60,206,2
Detonation site,42.7649,-201.2603,,Perimeter,,,42.7649,-201.2603,61,Detonation site,61,205.7536027,2
Detonation site,83.5814,-187.781,,Perimeter,,,83.5814,-187.781,62,Detonation site,62,205.5420988,2
Detonation site,120.6908,-166.159,,Perimeter,,,120.6908,-166.159,63,Detonation site,63,205.3657286,2
Detonation site,152.4957,-137.3396,,Perimeter,,,152.4957,-137.3396,64,Detonation site,64,205.2245216,2
Detonation site,177.6282,-102.5759,,Perimeter,,,177.6282,-102.5759,65,Detonation site,65,205.1184845,2
Detonation site,195.0082,-63.3751,,Perimeter,,,195.0082,-63.3751,66,Detonation site,66,205.0478026,2
Detonation site,203.8889,-21.4339,,Perimeter,,,203.8889,-21.4339,67,Detonation site,67,205.0124279,2
Detonation site,203.8889,21.4339,,Perimeter,,,203.8889,21.4339,68,Detonation site,68,205.0124279,2
Detonation site,195.0082,63.3751,,Perimeter,,,195.0082,63.3751,69,Detonation site,69,205.0478026,2
Detonation site,177.6282,102.5759,,Perimeter,,,177.6282,102.5759,70,Detonation site,70,205.1184845,2
Detonation site,102.7678,124.2218,,Perimeter,,,102.7678,124.2218,71,Detonation site,71,161.221203,3
Detonation site,68.7166,146.0756,,Perimeter,,,68.7166,146.0756,72,Detonation site,72,161.431261,3
Detonation site,30.3404,159.0117,,Perimeter,,,30.3404,159.0117,73,Detonation site,73,161.8803898,3
Detonation site,-10.1135,161.0039,,Perimeter,,,-10.1135,161.0039,74,Detonation site,74,161.3212283,3
Detonation site,-49.8387,153.356,,Perimeter,,,-49.8387,153.356,75,Detonation site,75,161.2512287,3
Detonation site,-86.6415,136.4945,,Perimeter,,,-86.6415,136.4945,76,Detonation site,76,161.6709561,3
Detonation site,-117.7748,110.6235,,Perimeter,,,-117.7748,110.6235,77,Detonation site,77,161.5811322,3
Detonation site,-141.2851,77.679,,Perimeter,,,-141.2851,77.679,78,Detonation site,78,161.2312207,3
Detonation site,-156.306,40.1139,,Perimeter,,,-156.306,40.1139,79,Detonation site,79,161.3712819,3
Detonation site,-162,0,,Perimeter,,,-162,0,80,Detonation site,80,162,3
Detonation site,-156.306,-40.1139,,Perimeter,,,-156.306,-40.1139,81,Detonation site,81,161.3712819,3
Detonation site,-141.2851,-77.679,,Perimeter,,,-141.2851,-77.679,82,Detonation site,82,161.2312207,3
Detonation site,-117.7748,-110.6235,,Perimeter,,,-117.7748,-110.6235,83,Detonation site,83,161.5811322,3
Detonation site,-86.6415,-136.4945,,Perimeter,,,-86.6415,-136.4945,84,Detonation site,84,161.6709561,3
Detonation site,-49.8387,-153.356,,Perimeter,,,-49.8387,-153.356,85,Detonation site,85,161.2512287,3
Detonation site,-10.1135,-161.0039,,Perimeter,,,-10.1135,-161.0039,86,Detonation site,86,161.3212283,3
Detonation site,30.3404,-159.0117,,Perimeter,,,30.3404,-159.0117,87,Detonation site,87,161.8803898,3
Detonation site,68.7166,-146.0756,,Perimeter,,,68.7166,-146.0756,88,Detonation site,88,161.431261,3
Detonation site,102.7678,-124.2218,,Perimeter,,,102.7678,-124.2218,89,Detonation site,89,161.221203,3
Detonation site,130.6687,-94.9122,,Perimeter,,,130.6687,-94.9122,90,Detonation site,90,161.5011915,3
Detonation site,150.406,-59.5635,,Perimeter,,,150.406,-59.5635,91,Detonation site,91,161.7707494,3
Detonation site,160.0078,-20.227,,Perimeter,,,160.0078,-20.227,92,Detonation site,92,161.2812066,3
Detonation site,160.0078,20.227,,Perimeter,,,160.0078,20.227,93,Detonation site,93,161.2812066,3
Detonation site,150.406,59.5635,,Perimeter,,,150.406,59.5635,94,Detonation site,94,161.7707494,3
Detonation site,130.6687,94.9122,,Perimeter,,,130.6687,94.9122,95,Detonation site,95,161.5011915,3
Detonation site,83.4386,83.4386,,Perimeter,,,83.4386,83.4386,96,Detonation site,96,117.9999997,4
Detonation site,53.3169,104.656,,Perimeter,,,53.3169,104.656,97,Detonation site,97,117.4545451,4
Detonation site,18.4165,116.1861,,Perimeter,,,18.4165,116.1861,98,Detonation site,98,117.6366325,4
Detonation site,-18.4165,116.1861,,Perimeter,,,-18.4165,116.1861,99,Detonation site,99,117.6366325,4
Detonation site,-53.3169,104.656,,Perimeter,,,-53.3169,104.656,100,Detonation site,100,117.4545451,4
